ID,SchoolName
26112024,ترقوميا الأساسية للبنين
26112025,صفد الأساسية للبنات
26112026,شهداء تفوح الأساسية للبنين
26112031,تفوح الثانوية للبنات
26112077,رشدية المحتسب الثانوية للبنات
26112078,عبد الخالق يغمور الأساسية للبنات
26112110,بيت كاحل الأساسية للبنات
26112112,أم سلمة الأساسية للبنات
26112185,ترقوميا الثانوية للبنات
26112191,ترقوميا الثانوية للبنين
26112197,الشهيد داود العطاونة الثانوية للبنين
26112198,النور الأساسية للبنين
26112200,نصار العصافرة الثانوية للبنات
26112202,تفوح الثانوية للبنين
26112205,تفوح الأساسية للبنات
26112208,ترقوميا الأساسية للبنات
26112209,الأقصى الأساسية للبنات
26112243,شهداء ترقوميا الأساسية للبنين
26112266,السيدة زينب الأساسية للبنات
26112276,عثمان بن عفان الأساسية للبنين
26112290,الأمير قيس الأساسية للبنات
26112293,شهداء الحرم الابراهيمي الأساسية للبنات
26112297,الخنساء الأساسية المختلطة
26112298,قلقس الثانوية للبنات
26311710,جمعية الشبان المسلمين - عين سارة
26311711,ذكور الشرعية الثانوية
26311712,المدرسة الشرعية الثانوية للبنات
26321709,دار الأيتام الانجيلية العربية
26331701,الأزهار الخاصة
26331702,زهرة المدائن الخاصة
26331703,دار السلام الاساسية الخاصة
26331704,القاسم الخاصة
26331706,الأمل الخاصة
26331710,الجامعة النموذجية الشاملة
26331714,رابطة الجامعيين الثانوية النموذجية
26331718,بيت المقدس الاساسية الخاصة (أ)
26331724,المناهل الخاصة
26331729,العهد الخاصة
26331744,ذكور الرحمة الأساسية
26331748,الرياض النموذجية
26331750,المستقبل الخاصة
26331751,أنس بن مالك الخاصة (أ)
26331756,مصباح النتشة الثانوية للبنات
26331759,إقرأ الخاصة
26331762,النخبة النموذجية
26331763,علماء الإسلام
26331764,جمعية الشبان المسلمين - جبل جوهر
26331765,صناع الحياة الخاصة
26331767,ميس الربيع الخاصة
26331770,الحاجة نظيرة أبو ارميلة للبنين
26331771,بيت المقدس الابتدائية الخاصة (ب)
26331773,أنس بن مالك (ب)
26331776,طلائع خليل الرحمن الخاصة
26331777,رواد المعرفة للإبداع والتميز
26331778,أحلام الصغار
26331779,الرسالة الخاصة
26331781,الرحمة الأساسية الخاصة للبنات
26331782,جمعية الكفيف الخيرية
26331783,الأمل للصم والبكم الخاصة
26331784,ابراهيم الشيخ درة
26331785,جلوري العالمية
26331786,براعم الأقصى
26331787,إبن العربي
26331788,جمعية الشبان المسلمين - حارة الشيخ
26331789,محمد بن راشد آل مكتوم الخاصة
26331790,المدرسة الحديثة الخاصة
26331791,الأندلس الخاصة
26331792,أنصار الإبداع الأساسية الخاصة
26331793,أكاديمية القادة الأساسية الخاصة
26331794,الخبراء الأساسية الخاصة
26331795,البيان الأساسية الخاصة
26331796,معهد الخليل الأزهري
26331797,مدرسة الوفاء الخاصة
26331798,الحاج رضوان والحاجة سعاد ابو سنينة الثانوية للبنين
26331799, الجنة الخضراء الأساسية الخاصة
26331800,عبير أكاديمي الأساسية الخاصة
26331801,المواهب الأساسية الخاصة
2611,مكتب التربية والتعليم - الخليل
